iter	Passed	Remaining
189	224963	367046
190	226016	365650
191	227050	364226
192	228216	363017
193	229315	361703
194	230515	360550
195	231711	359388
196	232662	357850
197	233820	356635
198	234903	355306
199	236111	354166
200	237319	353027
201	238592	351983
202	239706	350703
203	240902	349545
204	241957	348183
205	243206	347100
206	244283	345773
207	245531	344688
208	246605	343360
209	247843	342260
210	248781	340747
211	249734	339261
212	250736	337847
213	251767	336473
214	252916	335261
215	254039	334014
216	255173	332783
217	256122	331313
218	257300	330143
219	258566	329084
220	259712	327871
221	260604	326342
222	261699	325070
223	262747	323742
224	263914	322561
225	264996	321278
226	266012	319918
227	267031	318563
228	268027	317185
229	269144	315952
230	270295	314759
231	271207	313291
232	272408	312158
233	273699	311128
234	274990	310095
235	276156	308920
236	277215	307627
237	278424	306501
238	279665	305409
239	280782	304181
240	281936	302994
241	283075	301790
242	284439	300826
243	285596	299641
244	286684	298386
245	287902	297265
246	289202	296227
247	290462	295147
248	291550	293892
249	292696	292696
250	293820	291479
251	294979	290297
252	296161	289138
253	297329	287965
254	298616	286906
255	299899	285841
256	301230	284820
257	302531	283769
258	303650	282547
259	304879	281427
260	306013	280219
261	307322	279170
262	308572	278067
263	309926	277055
264	311191	275962
265	312418	274834
266	313584	273652
267	314761	272480
268	315923	271295
269	317088	270112
270	318383	269039
271	319626	267921
272	320785	266733
273	321955	265554
274	323074	264333
275	324264	263171
276	325411	261974
277	326634	260837
278	327820	259671
279	328946	258458
280	329832	257058
281	330979	255863
282	332116	254661
283	333175	253401
284	334385	252255
285	335652	251152
286	336885	250023
287	338113	248889
288	339368	247774
289	340601	246642
290	341683	245401
291	342761	244158
292	344088	243093
293	345248	241909
294	346397	240717
295	347476	239476
296	348539	238227
297	349563	236952
298	350857	235860
299	352062	234708
300	353122	233460
301	354240	232250
302	355274	230986
303	356518	229860
304	357691	228687
305	358827	227491
306	359967	226298
307	361180	225151
308	362297	223944
309	363500	222790
310	364747	221663
311	365951	220508
312	367099	219321
313	368152	218077
314	369026	216730
315	370120	215513
316	371213	214296
317	372203	213022
318	373400	211866
319	374635	210732
320	375857	209590
321	377083	208449
322	378276	207291
323	379412	206100
324	380474	204871
325	381728	203744
326	382931	202590
327	384123	201430
328	385174	200196
329	386315	199010
330	387562	197879
331	388730	196707
332	389938	195554
333	390993	194326
334	392175	193161
335	393225	191931
336	394373	190750
337	395506	189562
338	396725	188415
339	397993	187290
340	399692	186366
341	400790	185160
342	401771	183901
343	403067	182786
344	404180	181588
345	405399	180437
346	406491	179230
347	407599	178031
348	408765	176858
349	410065	175742
350	411176	174544
351	412477	173427
352	413719	172285
353	414799	171075
354	415840	169850
355	417006	168676
356	418100	167474
357	419150	166255
358	420363	165100
359	421424	163887
360	422561	162703
361	423756	161542
362	424988	160395
363	426095	159200
364	427214	158010
365	428373	156836
366	429463	155636
367	430522	154426
368	431710	153262
369	433017	152141
370	434053	150924
371	435418	149821
372	436569	148644
373	437737	147473
374	438973	146324
375	440022	145113
376	441257	143964
377	442321	142759
378	443563	141612
379	444656	140417
380	445849	139254
381	447017	138083
382	448196	136916
383	449344	135739
384	450547	134579
385	451615	133378
386	452704	132184
387	453947	131036
388	454984	129828
389	456192	128669
390	457335	127492
391	458508	126323
392	459650	125146
393	460241	123821
394	461494	122675
395	462840	121554
396	464229	120442
397	465410	119276
398	466846	118174
399	468344	117086
400	469639	115945
401	470787	114769
402	472387	113701
403	476061	113123
404	478845	112321
405	482244	111652
406	484870	110793
407	487074	109830
408	489317	108870
409	491649	107923
410	493974	106967
411	496047	105951
412	498113	104929
413	499481	103757
414	501596	102736
415	505231	102017
416	507306	100974
417	509556	99960
418	511510	98883
419	513371	97785
420	514904	96620
421	516418	95451
422	517655	94230
423	519130	93051
424	520482	91849
425	521799	90641
426	523251	89455
427	524405	88217
428	525886	87034
429	527497	85871
430	529067	84699
431	530400	83488
432	531585	82254
433	533080	81067
434	534360	79846
435	535543	78611
436	537077	77427
437	538416	76214
438	539771	75002
439	541182	73797
440	542526	72582
441	544039	71389
442	545514	70190
443	547039	68995
444	548413	67781
445	550055	66598
446	551518	65392
447	552927	64179
448	554252	62955
449	555401	61711
450	556585	60471
451	557716	59226
452	558909	57988
453	560169	56757
454	561324	55515
455	562367	54263
456	563487	53019
457	564518	51768
458	565711	50531
459	567270	49327
460	568431	48088
461	569595	46849
462	570830	45617
463	571932	44374
464	572951	43125
465	574146	41890
466	575392	40659
467	576490	39418
468	577672	38183
469	578897	36950
470	580190	35722
471	581238	34480
472	582577	33254
473	583726	32018
474	586542	30870
475	589893	29742
476	593007	28593
477	594177	27347
478	595409	26103
479	596527	24855
480	598003	23621
481	599178	22375
482	600331	21129
483	601551	19886
484	602820	18643
485	603962	17398
486	605241	16156
487	606361	14910
488	607466	13664
489	608514	12418
490	609724	11176
491	610899	9933
492	612048	8690
493	613396	7450
494	614496	6207
495	615561	4964
496	616928	3723
497	618352	2483
498	619572	1241
499	620819	0
